UNDEF;Undefined
B25.2;Pankreatitis durch Zytomegalieviren
B25.8;Sonstige Zytomegalie
B25.80;Infektion des Verdauungstraktes durch Zytomegalieviren
B25.88;Sonstige Zytomegalie
B25.9;Zytomegalie, nicht näher bezeichnet
B26;Mumps
B26.0;Mumps-Orchitis
B26.1;Mumps-Meningitis
B26.2;Mumps-Enzephalitis
B26.3;Mumps-Pankreatitis
B26.8;Mumps mit sonstigen Komplikationen
B26.9;Mumps ohne Komplikation
B27;Infektiöse Mononukleose
B27.0;Mononukleose durch Gamma-Herpesviren
B27.1;Mononukleose durch Zytomegalieviren
B27.8;Sonstige infektiöse Mononukleose
B27.9;Infektiöse Mononukleose, nicht näher bezeichnet
B30;Viruskonjunktivitis
B30.0;Keratokonjunktivitis durch Adenoviren
B30.1;Konjunktivitis durch Adenoviren
B30.2;Pharyngokonjunktivalfieber (durch Viren)
B30.3;Akute epidemische hämorrhagische Konjunktivitis (durch Enteroviren)
B30.8;Sonstige Konjunktivitis durch Viren
B30.9;Konjunktivitis durch Viren, nicht näher bezeichnet
B33;Sonstige Viruskrankheiten, anderenorts nicht klassifiziert
B33.0;Pleurodynia epidemica
B33.1;Ross-River-Krankheit
B33.2;Karditis durch Viren
B33.3;Infektion durch Retroviren, anderenorts nicht klassifiziert
B33.4;Hantavirus- (Herz-) Lungensyndrom
B33.8;Sonstige näher bezeichnete Viruskrankheiten
B34;Viruskrankheit nicht näher bezeichneter Lokalisation
B34.0;Infektion durch Adenoviren nicht näher bezeichneter Lokalisation
B34.1;Infektion durch Enteroviren nicht näher bezeichneter Lokalisation
B34.2;Infektion durch Koronaviren nicht näher bezeichneter Lokalisation
B34.3;Infektion durch Parvoviren nicht näher bezeichneter Lokalisation
B34.4;Infektion durch Papovaviren nicht näher bezeichneter Lokalisation
B34.8;Sonstige Virusinfektionen nicht näher bezeichneter Lokalisation
B34.9;Virusinfektion, nicht näher bezeichnet
B35;Dermatophytose [Tinea]
B35.0;Tinea barbae und Tinea capitis
B35.1;Tinea unguium
B35.2;Tinea manuum
B35.3;Tinea pedis
B35.4;Tinea corporis
B35.5;Tinea imbricata
B35.6;Tinea cruris
B35.8;Sonstige Dermatophytosen
B35.9;Dermatophytose, nicht näher bezeichnet
B36;Sonstige oberflächliche Mykosen
B36.0;Pityriasis versicolor
B36.1;Tinea nigra
B36.2;Piedra alba [weiße Piedra]
B36.3;Piedra nigra [schwarze Piedra]
B36.8;Sonstige näher bezeichnete oberflächliche Mykosen
B36.9;Oberflächliche Mykose, nicht näher bezeichnet
B37;Kandidose
B37.0;Candida-Stomatitis
B37.1;Kandidose der Lunge
B37.2;Kandidose der Haut und der Nägel
B37.3;Kandidose der Vulva und der Vagina
B37.4;Kandidose an sonstigen Lokalisationen des Urogenitalsystems
B37.5;Candida-Meningitis
B37.6;Candida-Endokarditis
B37.7;Candida-Sepsis
B37.8;Kandidose an sonstigen Lokalisationen
B37.81;Candida-Ösophagitis
B37.88;Kandidose an sonstigen Lokalisationen
B37.9;Kandidose, nicht näher bezeichnet
B38;Kokzidioidomykose
B38.0;Akute Kokzidioidomykose der Lunge
B38.1;Chronische Kokzidioidomykose der Lunge
B38.2;Kokzidioidomykose der Lunge, nicht näher bezeichnet
B38.3;Kokzidioidomykose der Haut
B38.4;Kokzidioidomykose der Meningen
B38.7;Disseminierte Kokzidioidomykose
B38.8;Sonstige Formen der Kokzidioidomykose
B38.9;Kokzidioidomykose, nicht näher bezeichnet
B39;Histoplasmose
B39.0;Akute Histoplasmose der Lunge durch Histoplasma capsulatum
B39.1;Chronische Histoplasmose der Lunge durch Histoplasma capsulatum
B39.2;Histoplasmose der Lunge durch Histoplasma capsulatum, nicht näher bezeichnet
B39.3;Disseminierte Histoplasmose durch Histoplasma capsulatum
B39.4;Histoplasmose durch Histoplasma capsulatum, nicht näher bezeichnet
B39.5;Histoplasmose durch Histoplasma duboisii
B39.9;Histoplasmose, nicht näher bezeichnet
B40;Blastomykose
B40.0;Akute Blastomykose der Lunge
B40.1;Chronische Blastomykose der Lunge
B40.2;Blastomykose der Lunge, nicht näher bezeichnet
B40.3;Blastomykose der Haut
B40.7;Disseminierte Blastomykose
B40.8;Sonstige Formen der Blastomykose
B40.9;Blastomykose, nicht näher bezeichnet
B41;Parakokzidioidomykose
B41.0;Parakokzidioidomykose der Lunge
B41.7;Disseminierte Parakokzidioidomykose
B41.8;Sonstige Formen der Parakokzidioidomykose
B41.9;Parakokzidioidomykose, nicht näher bezeichnet
B42;Sporotrichose
B42.0;Sporotrichose der Lunge
B42.1;Lymphokutane Sporotrichose
B42.7;Disseminierte Sporotrichose
B42.8;Sonstige Formen der Sporotrichose
B42.9;Sporotrichose, nicht näher bezeichnet
B43;Chromomykose und chromomykotischer Abszess
B43.0;Chromomykose der Haut
B43.1;Chromomykotischer Abszess des Gehirns
B43.2;Chromomykotische(r) Abszess und Zyste der Unterhaut
B43.8;Sonstige Formen der Chromomykose
B43.9;Chromomykose, nicht näher bezeichnet
B44;Aspergillose
B44.0;Invasive Aspergillose der Lunge
B44.1;Sonstige Aspergillose der Lunge
B44.2;Aspergillose der Tonsillen
B44.7;Disseminierte Aspergillose
B44.8;Sonstige Formen der Aspergillose
B44.9;Aspergillose, nicht näher bezeichnet
B45;Kryptokokkose
B45.0;Kryptokokkose der Lunge
B45.1;Kryptokokkose des Gehirns
B45.2;Kryptokokkose der Haut
B45.3;Kryptokokkose der Knochen
B45.7;Disseminierte Kryptokokkose
B45.8;Sonstige Formen der Kryptokokkose
B45.9;Kryptokokkose, nicht näher bezeichnet
B46;Zygomykose
B46.0;Mukormykose der Lunge
B46.1;Rhinozerebrale Mukormykose
B46.2;Mukormykose des Magen-Darmtraktes
B46.3;Mukormykose der Haut
B46.4;Disseminierte Mukormykose
B46.5;Mukormykose, nicht näher bezeichnet
B46.8;Sonstige Formen der Zygomykose
B46.9;Zygomykose, nicht näher bezeichnet
B47;Myzetom
B47.0;Eumyzetom
B47.1;Aktinomyzetom
B47.9;Myzetom, nicht näher bezeichnet
B48;Sonstige Mykosen, anderenorts nicht klassifiziert
B48.0;Lobomykose
B48.1;Rhinosporidiose
B48.2;Allescheriose
B48.3;Geotrichose
B48.4;Penizilliose
B48.7;Mykosen durch opportunistisch-pathogene Pilze
B48.8;Sonstige näher bezeichnete Mykosen
B49;Nicht näher bezeichnete Mykose
B50;Malaria tropica durch Plasmodium falciparum
B50.0;Malaria tropica mit zerebralen Komplikationen
B50.8;Sonstige schwere Formen oder Komplikationen der Malaria tropica
B50.9;Malaria tropica, nicht näher bezeichnet
B51;Malaria tertiana durch Plasmodium vivax
B51.0;Malaria tertiana mit Milzruptur
B51.8;Malaria tertiana mit sonstigen Komplikationen
B51.9;Malaria tertiana ohne Komplikation
B52;Malaria quartana durch Plasmodium malariae
B52.0;Malaria quartana mit Nephropathie
B52.8;Malaria quartana mit sonstigen Komplikationen
B52.9;Malaria quartana ohne Komplikation
B53;Sonstige parasitologisch bestätigte Malaria
B53.0;Malaria durch Plasmodium ovale
B53.1;Malaria durch Affen-Plasmodien
B53.8;Sonstige parasitologisch bestätigte Malaria, anderenorts nicht klassifiziert
B54;Malaria, nicht näher bezeichnet
B55;Leishmaniose
B55.0;Viszerale Leishmaniose
B55.1;Kutane Leishmaniose
B55.2;Mukokutane Leishmaniose
B55.9;Leishmaniose, nicht näher bezeichnet
B56;Afrikanische Trypanosomiasis
B56.0;Trypanosomiasis gambiensis
B56.1;Trypanosomiasis rhodesiensis
B56.9;Afrikanische Trypanosomiasis, nicht näher bezeichnet
B57;Chagas-Krankheit
B57.0;Akute Chagas-Krankheit mit Herzbeteiligung
B57.1;Akute Chagas-Krankheit ohne Herzbeteiligung
B57.2;Chagas-Krankheit (chronisch) mit Herzbeteiligung
B57.3;Chagas-Krankheit (chronisch) mit Beteiligung des Verdauungssystems
B57.4;Chagas-Krankheit (chronisch) mit Beteiligung des Nervensystems
B57.5;Chagas-Krankheit (chronisch) mit Beteiligung sonstiger Organe
B58;Toxoplasmose
B58.0;Augenerkrankung durch Toxoplasmen
B58.1;Hepatitis durch Toxoplasmen
B58.2;Meningoenzephalitis durch Toxoplasmen
B58.3;Toxoplasmose der Lunge
B58.8;Toxoplasmosen mit Beteiligung sonstiger Organe
B58.9;Toxoplasmose, nicht näher bezeichnet
B59;Pneumozystose
B60;Sonstige Protozoenkrankheiten, anderenorts nicht klassifiziert
B60.0;Babesiose
B60.1;Akanthamöbiasis
B60.2;Naegleriainfektion
B60.8;Sonstige näher bezeichnete Protozoenkrankheiten
B64;Nicht näher bezeichnete Protozoenkrankheit
B65;Schistosomiasis [Bilharziose]
B65.0;Schistosomiasis durch Schistosoma haematobium [Blasenbilharziose]
B65.1;Schistosomiasis durch Schistosoma mansoni [Darmbilharziose]
B65.2;Schistosomiasis durch Schistosoma japonicum
B65.3;Zerkariendermatitis
B65.8;Sonstige Formen der Schistosomiasis
B65.9;Schistosomiasis, nicht näher bezeichnet
B66;Befall durch sonstige Trematoden [Egel]
B66.0;Opisthorchiasis
B66.1;Clonorchiasis
B66.2;Dicrocoeliasis
B66.3;Fascioliasis
B66.4;Paragonimiasis
B66.5;Fasciolopsiasis
B66.8;Befall durch sonstige näher bezeichnete Trematoden
B66.9;Trematodenbefall, nicht näher bezeichnet
B67;Echinokokkose
B67.0;Echinococcus-granulosus-Infektion [zystische Echinokokkose] der Leber
B67.1;Echinococcus-granulosus-Infektion [zystische Echinokokkose] der Lunge
B67.2;Echinococcus-granulosus-Infektion [zystische Echinokokkose] der Knochen
B67.3;Echinococcus-granulosus-Infektion [zystische Echinokokkose] an mehreren und sonstigen Lokalisationen
B67.4;Echinococcus-granulosus-Infektion [zystische Echinokokkose], nicht näher bezeichnet
B67.5;Echinococcus-multilocularis-Infektion [alveoläre Echinokokkose] der Leber
B67.6;Echinococcus-multilocularis-Infektion [alveoläre Echinokokkose] an mehreren und sonstigen Lokalisationen
B67.7;Echinococcus-multilocularis-Infektion [alveoläre Echinokokkose], nicht näher bezeichnet
B67.8;Nicht näher bezeichnete Echinokokkose der Leber
B67.9;Sonstige und nicht näher bezeichnete Echinokokkose
B68;Taeniasis
B68.0;Befall durch Taenia solium
B68.1;Befall durch Taenia saginata
B68.9;Taeniasis, nicht näher bezeichnet
B69;Zystizerkose
B69.0;Zystizerkose des Zentralnervensystems
B69.1;Zystizerkose der Augen
B69.8;Zystizerkose an sonstigen Lokalisationen
B69.9;Zystizerkose, nicht näher bezeichnet
B70;Diphyllobothriose und Sparganose
B70.0;Diphyllobothriose
B70.1;Sparganose
B71;Befall durch sonstige Zestoden
B71.0;Hymenolepiasis
B71.1;Dipylidiose
B71.8;Sonstige näher bezeichnete Zestodeninfektionen
B71.9;Zestodeninfektion, nicht näher bezeichnet
B72;Drakunkulose
B73;Onchozerkose
B74;Filariose
B74.0;Filariose durch Wuchereria bancrofti
B74.1;Filariose durch Brugia malayi
B74.2;Filariose durch Brugia timori
B74.3;Loiasis
B74.4;Mansonelliasis
B74.8;Sonstige Filariose
B74.9;Filariose, nicht näher bezeichnet
B75;Trichinellose
B76;Hakenwurm-Krankheit
B76.0;Ankylostomiasis
B76.1;Nekatoriasis
B76.8;Sonstige Hakenwurm-Krankheiten
B76.9;Hakenwurm-Krankheit, nicht näher bezeichnet
B77;Askaridose
B77.0;Askaridose mit intestinalen Komplikationen
B77.8;Askaridose mit sonstigen Komplikationen
B77.9;Askaridose, nicht näher bezeichnet
B78;Strongyloidiasis
B78.0;Strongyloidiasis des Darmes
B78.1;Strongyloidiasis der Haut
B78.7;Disseminierte Strongyloidiasis
B78.9;Strongyloidiasis, nicht näher bezeichnet
B79;Trichuriasis
B80;Enterobiasis
B81;Sonstige intestinale Helminthosen, anderenorts nicht klassifiziert
B81.0;Anisakiasis
B81.1;Intestinale Kapillariasis
B81.2;Trichostrongyliasis
B81.3;Intestinale Angiostrongyliasis
B81.4;Mischformen intestinaler Helminthosen
B81.8;Sonstige näher bezeichnete intestinale Helminthosen
B82;Nicht näher bezeichneter intestinaler Parasitismus
B82.0;Intestinale Helminthose, nicht näher bezeichnet
B82.9;Intestinaler Parasitismus, nicht näher bezeichnet
B83;Sonstige Helminthosen
B83.0;Larva migrans visceralis
B83.1;Gnathostomiasis
B83.2;Angiostrongyliasis durch Parastrongylus cantonensis
B83.3;Syngamiasis
B83.4;Hirudiniasis interna
B83.8;Sonstige näher bezeichnete Helminthosen
B83.9;Helminthose, nicht näher bezeichnet
B85;Pedikulose [Läusebefall] und Phthiriasis [Filzläusebefall]
B85.0;Pedikulose durch Pediculus humanus capitis
B85.1;Pedikulose durch Pediculus humanus corporis
B85.2;Pedikulose, nicht näher bezeichnet
B85.3;Phthiriasis [Filzläusebefall]
B85.4;Mischformen von Pedikulose und Phthiriasis
B86;Skabies
B87;Myiasis
B87.0;Dermatomyiasis
B87.1;Wundmyiasis
B87.2;Ophthalmomyiasis
B87.3;Nasopharyngeale Myiasis
B87.4;Otomyiasis
B87.8;Myiasis an sonstigen Lokalisationen
B87.9;Myiasis, nicht näher bezeichnet
B88;Sonstiger Parasitenbefall der Haut
B88.0;Sonstige Akarinose [Milbenbefall]
B88.1;Tungiasis [Sandflohbefall]
B88.2;Sonstiger Befall durch Arthropoden
B88.3;Hirudiniasis externa
B88.8;Sonstiger näher bezeichneter Parasitenbefall der Haut
B88.9;Parasitenbefall der Haut, nicht näher bezeichnet
B89;Nicht näher bezeichnete parasitäre Krankheit
B90;Folgezustände der Tuberkulose
B90.0;Folgezustände einer Tuberkulose des Zentralnervensystems
B90.1;Folgezustände einer Tuberkulose des Urogenitalsystems
B90.2;Folgezustände einer Tuberkulose der Knochen und der Gelenke
B90.8;Folgezustände einer Tuberkulose sonstiger Organe
B90.9;Folgezustände einer Tuberkulose der Atmungsorgane und einer nicht näher bezeichneten Tuberkulose
B91;Folgezustände der Poliomyelitis
B92;Folgezustände der Lepra
B94;Folgezustände sonstiger und nicht näher bezeichneter infektiöser und parasitärer Krankheiten
B94.0;Folgezustände des Trachoms
B94.1;Folgezustände der Virusenzephalitis
B94.2;Folgezustände der Virushepatitis
B94.8;Folgezustände sonstiger näher bezeichneter infektiöser und parasitärer Krankheiten
B94.9;Folgezustände nicht näher bezeichneter infektiöser oder parasitärer Krankheit
B95;Streptokokken und Staphylokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.0;Streptokokken, Gruppe A, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.1;Streptokokken, Gruppe B, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.2;Streptokokken, Gruppe D, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.3;Streptococcus pneumoniae als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.4;Sonstige Streptokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.41;Streptokokken, Gruppe C, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.42;Streptokokken, Gruppe G, als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.48;Sonstige näher bezeichnete Streptokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.5;Nicht näher bezeichnete Streptokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.6;Staphylococcus aureus als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.7;Sonstige Staphylokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.8;Nicht näher bezeichnete Staphylokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.9;Sonstige näher bezeichnete grampositive Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.90;Sonstige näher bezeichnete grampositive aerobe Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B95.91;Sonstige näher bezeichnete grampositive anaerobe, nicht sporenbildende Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B96;Sonstige näher bezeichnete Bakterien als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B96.0;Mykoplasmen und Ureaplasmen als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B96.2;Escherichia coli [E. coli] und andere Enterobakteriazeen als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B96.3;Haemophilus und Moraxella als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B96.5;Pseudomonas und andere Nonfermenter als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B96.6;Bacteroides fragilis [B. fragilis] und andere gramnegative Anaerobier als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B96.7;Clostridium perfringens [C. perfringens] und andere grampositive, sporenbildende Anaerobier als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B96.8;Sonstige näher bezeichnete Bakterien als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B97;Viren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B97.0;Adenoviren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B97.1;Enteroviren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B97.2;Koronaviren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B97.3;Retroviren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B97.4;Respiratory-Syncytial-Viren [RS-Viren] als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B97.5;Reoviren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B97.6;Parvoviren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B97.7;Papillomaviren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B97.8;Sonstige Viren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B98;Sonstige näher bezeichnete infektiöse Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B98.0;Helicobacter pylori [H. pylori] als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B98.1;Vibrio vulnificus als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B99;Sonstige und nicht näher bezeichnete Infektionskrankheiten
C00;Bösartige Neubildung der Lippe
C00.0;Bösartige Neubildung: Äußere Oberlippe
C00.1;Bösartige Neubildung: Äußere Unterlippe
C00.2;Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet
C00.3;Bösartige Neubildung: Oberlippe, Innenseite
C00.4;Bösartige Neubildung: Unterlippe, Innenseite
C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite
C00.6;Bösartige Neubildung: Lippenkommissur
C00.8;Bösartige Neubildung: Lippe, mehrere Teilbereiche überlappend
C00.9;Bösartige Neubildung: Lippe, nicht näher bezeichnet
C01;Bösartige Neubildung des Zungengrundes
C02;Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Zunge
C02.0;Bösartige Neubildung: Zungenrücken
C02.1;Bösartige Neubildung: Zungenrand
C02.2;Bösartige Neubildung: Zungenunterfläche
C02.3;Bösartige Neubildung: Vordere zwei Drittel der Zunge, Bereich nicht näher bezeichnet
C02.4;Bösartige Neubildung: Zungentonsille
C02.8;Bösartige Neubildung: Zunge, mehrere Teilbereiche überlappend
C02.9;Bösartige Neubildung: Zunge, nicht näher bezeichnet
C03;Bösartige Neubildung des Zahnfleisches
C03.0;Bösartige Neubildung: Oberkieferzahnfleisch
C03.1;Bösartige Neubildung: Unterkieferzahnfleisch
C03.9;Bösartige Neubildung: Zahnfleisch, nicht näher bezeichnet
C04;Bösartige Neubildung des Mundbodens
C04.0;Bösartige Neubildung: Vorderer Teil des Mundbodens
C04.1;Bösartige Neubildung: Seitlicher Teil des Mundbodens
C04.8;Bösartige Neubildung: Mundboden, mehrere Teilbereiche überlappend
C04.9;Bösartige Neubildung: Mundboden, nicht näher bezeichnet
C05;Bösartige Neubildung des Gaumens
C05.0;Bösartige Neubildung: Harter Gaumen
C05.1;Bösartige Neubildung: Weicher Gaumen
C05.2;Bösartige Neubildung: Uvula
C05.8;Bösartige Neubildung: Gaumen, mehrere Teilbereiche überlappend
C05.9;Bösartige Neubildung: Gaumen, nicht näher bezeichnet
C06;Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile des Mundes
C06.0;Bösartige Neubildung: Wangenschleimhaut
C06.1;Bösartige Neubildung: Vestibulum oris
C06.2;Bösartige Neubildung: Retromolarregion
C06.8;Bösartige Neubildung: Sonstige und nicht näher bezeichnete Teile des Mundes, mehrere Teilbereiche überlappend
C06.9;Bösartige Neubildung: Mund, nicht näher bezeichnet
C07;Bösartige Neubildung der Parotis
C08;Bösartige Neubildung sonstiger und nicht näher bezeichneter großer Speicheldrüsen
